name,group,owner,language,homepage,streamUrl,bitrate,codec,logo,genres,nowPlayingApi,fm,dab,geo,rpuId,wikidata,catalogId,inCatalog
RSI Rete Tre,SRG SSR · RSI,,it,https://cdn.rsi.ch/console/retetre/,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/retetre/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7568005/600/600/l5upno3q.png,Pop|Rock,,,,"46.005,8.952",NzU2fjgwMDU,,builtin-rsi-rete-tre,Y
RSI Rete Uno,SRG SSR · RSI,,it,https://cdn.rsi.ch/console/reteuno/,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/reteuno/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7568003/600/600/l458qgoi.png,News|Pop,,,,"46.005,8.952",NzU2fjgwMDM,,builtin-rsi-rete-uno,Y
RTN,BNJ,,fr,http://www.rtn.ch/swissradioplayer,https://rtn.ice.infomaniak.ch/rtn-high.mp3,128,mpeg,https://assets.radioplayer.org/756/7565028/11/1084-mhoofp5q.png,News|Pop-Rock,Infomaniak (Romandie),Y,Y,"46.948,7.447",NzU2fjUwMjg,,ch-rtn,Y
Radio RTR,SRG SSR · RTR,Radiotelevisiun Svizra Rumantscha,rm,https://console.swissradioplayer.ch/stations/live/181/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/rr/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756181/600/600/l5ussh9l.png,News|Volksmusik,,,,,NzU2fjE4MQ,,,
RTS Couleur 3,SRG SSR · RTS,Radio télévision suisse,fr,https://www.rts.ch/swissradioplayer/couleur-3,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/couleur3/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7565038/600/600/m1fhcbm5.jpeg,News,,,,"46.516,6.633",NzU2fjUwMzg,,builtin-rts-la-1ere,Y
RTS Espace 2,SRG SSR · RTS,Radio télévision suisse,fr,https://www.rts.ch/swissradioplayer/espace-2,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/espace-2/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7565037/600/600/m1fhhj2z.png,Classique,,,,"46.516,6.633",NzU2fjUwMzc,,builtin-rts-la-1ere,Y
RTS Première,SRG SSR · RTS,Radio télévision suisse,fr,https://www.rts.ch/swissradioplayer/la-1ere,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/la-1ere/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7565036/600/600/m1ko49e4.jpeg,News,,,,"46.516,6.633",NzU2fjUwMzY,,builtin-rts-la-1ere,Y
RTS Option Musique,SRG SSR · RTS,Radio télévision suisse,fr,https://console.swissradioplayer.ch/stations/live/5039/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/option-musique/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/7565039/600/600/m1fhmjcc.jpeg,Pop-Rock|Chanson / Ballad,,,,"46.516,6.633",NzU2fjUwMzk,,builtin-rts-option-musique,Y
Spitalradio LuZ,independent / community,,de,https://console.swissradioplayer.ch/stations/live/199/index.html,https://s10.streamingcloud.online:13552/radioluz320.mp3,320,mpeg,https://assets.radioplayer.org/756/756199/600/600/lrhmp8ii.png,Oldies|Pop-Rock,,,,,NzU2fjE5OQ,,,
SPOON ROCK,,,,http://www.spoonradio.com/console/index.html,https://ic2527.c972.fastserv.com:80/spoonradio_aacp_128,128,aac,https://assets.radioplayer.org/756/7565033/600/600/luohob6t.png,Rock|Alternative / Indie,,,,"46.948,7.447",NzU2fjUwMzM,,ch-spoon-radio-classic-rock,Y
Radio SRF 1,SRG SSR · SRF,Schweizer Radio und Fernsehen,de,https://console.swissradioplayer.ch/stations/live/168/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/srf1/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756168/600/600/ld1db5gg.png,News,,,,,NzU2fjE2OA,,,
Radio SRF 1 AG SO,SRG SSR · SRF,,de,https://console.swissradioplayer.ch/stations/live/174/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/regi_ag_so/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756174/600/600/ldlfi8zz.png,News,,,,,NzU2fjE3NA,,,
Radio SRF 1 BE FR VS,SRG SSR · SRF,,de,https://console.swissradioplayer.ch/stations/live/176/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/regi_be_fr_vs/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756176/600/600/lgewdtk6.png,News,,,,,NzU2fjE3Ng,,,
Radio SRF 1 BS BL,SRG SSR · SRF,,de,https://console.swissradioplayer.ch/stations/live/175/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/regi_bs_bl/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756175/600/600/lgeweco9.png,News,,,,,NzU2fjE3NQ,,,
Radio SRF 1 GR,SRG SSR · SRF,,de,https://console.swissradioplayer.ch/stations/live/180/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/regi_gr/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756180/600/600/lgewkk88.png,News,,,,,NzU2fjE4MA,,,
Radio SRF 1 Ostschweiz,SRG SSR · SRF,,de,https://console.swissradioplayer.ch/stations/live/178/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/regi_ost/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756178/600/600/lgewghcj.png,News,,,,,NzU2fjE3OA,,,
Radio SRF 1 Zentralschweiz,SRG SSR · SRF,,de,https://console.swissradioplayer.ch/stations/live/177/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/regi_zentr/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756177/600/600/lgewiann.png,News,,,,,NzU2fjE3Nw,,,
Radio SRF 1 ZH SH,SRG SSR · SRF,,de,https://console.swissradioplayer.ch/stations/live/179/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/regi_zh_sh/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756179/600/600/lgew6in0.png,News,,,,,NzU2fjE3OQ,,,
Radio SRF 2 Kultur,SRG SSR · SRF,Swiss Broadcasting Corporation,de,https://console.swissradioplayer.ch/stations/live/169/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/srf2/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756169/600/600/l5uqv61f.png,News,,,,"47.385,8.529",NzU2fjE2OQ,,builtin-srf-2-kultur,Y
Radio SRF 3,SRG SSR · SRF,Schweizer Radio und Fernsehen,de,https://console.swissradioplayer.ch/stations/live/170/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/srf3/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756170/600/600/l5upk2lb.png,News,,,,"47.385,8.529",NzU2fjE3MA,,builtin-srf-3,Y
Radio SRF 4 News,SRG SSR · SRF,Schweizer Radio und Fernsehen,de,https://console.swissradioplayer.ch/stations/live/171/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/srf4news/variant-96.m3u8,96,x-mpegurl,https://assets.radioplayer.org/756/756171/600/600/l5upkhua.png,News,,,,"47.385,8.529",NzU2fjE3MQ,,builtin-srf-4-news,Y
Radio SRF Musikwelle,SRG SSR · SRF,Schweizer Radio und Fernsehen,German,https://console.swissradioplayer.ch/stations/live/173/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/srfmw/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756173/600/600/l5upk7t7.png,News,,,,"47.385,8.529",NzU2fjE3Mw,,builtin-srf-musikwelle,Y
Radio SRF Virus,SRG SSR · SRF,Schweizer Radio und Fernsehen,de,https://console.swissradioplayer.ch/stations/live/172/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/srfvirus/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/756172/600/600/l458uhlq.png,News,,,,"47.385,8.529",NzU2fjE3Mg,,builtin-srf-virus,Y
Radio Stadtfilter,independent / community,,de,https://api.stadtfilter.net/info.html,https://streamer.stadtfilter.net/stadtfilter.mp3,160,mpeg,https://assets.radioplayer.org/756/756135/600/600/l5uoq9dd.png,Klassik|Alternative / Indie,,,,,NzU2fjEzNQ,,,
Sunradio - Best international Music,,,,,https://stream.sunradio.ch/live,256,mpeg,https://assets.radioplayer.org/756/756277/600/600/lncwm0ho.png,1980s|Pop-Rock,,,,,NzU2fjI3Nw,,,
